instance, avg. XPL%, avg. XPT%, avg. XPL%, avg. XPT%, avg. XPL%, avg. XPT%, avg. XPL%, avg. XPT%
dificil,2.264,97.736 
facil,4.401,95.599 
medio,3.468,96.532 
