instance, min time (s), avg. time (s), std time (s), min time (s), avg. time (s), std time (s), min time (s), avg. time (s), std time (s), min time (s), avg. time (s), std time (s)
dificil,47.389,49.676,2.014 
facil,4.924,5.415,0.185 
medio,31.987,32.967,0.757 
