MH,FITNESS
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
SA,5.0
